epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,12995.8,1.10233,0.57038,1.00482,0.85779,0.84879,0.85141,0.49678,1.57239,0.76353,1.21838,0.0064558,0.0064558,0.0064558
181,13071.4,1.11341,0.57531,1.01016,0.85786,0.84766,0.85265,0.49686,1.56502,0.7612,1.21202,0.006436,0.006436,0.006436
182,13143.4,1.12353,0.57075,1.00752,0.87341,0.8551,0.86375,0.50645,1.56304,0.74201,1.21293,0.0064162,0.0064162,0.0064162
183,13215.9,1.10953,0.56219,1.01447,0.86027,0.86026,0.87036,0.51354,1.55662,0.72712,1.21319,0.0063964,0.0063964,0.0063964
184,13287.2,1.10301,0.56514,1.00868,0.87514,0.83654,0.86468,0.5115,1.56332,0.74843,1.22196,0.0063766,0.0063766,0.0063766
185,13358.4,1.09753,0.56723,1.0015,0.88643,0.83677,0.86546,0.50864,1.55555,0.73545,1.21275,0.0063568,0.0063568,0.0063568
186,13429.3,1.09076,0.56688,1.00317,0.88929,0.84166,0.86875,0.50866,1.57051,0.72538,1.21785,0.006337,0.006337,0.006337
187,13500.7,1.09395,0.56136,1.00701,0.88326,0.83845,0.8648,0.50605,1.5678,0.74666,1.21678,0.0063172,0.0063172,0.0063172
188,13571.5,1.08932,0.56126,0.99969,0.8673,0.85332,0.87267,0.50737,1.57785,0.73661,1.22608,0.0062974,0.0062974,0.0062974
189,13642.6,1.09637,0.55872,1.00527,0.88169,0.85882,0.86901,0.50298,1.58848,0.7335,1.22931,0.0062776,0.0062776,0.0062776
190,13713.9,1.08671,0.56267,0.99939,0.87816,0.84935,0.86745,0.50918,1.5749,0.73273,1.21979,0.0062578,0.0062578,0.0062578
191,13785.7,1.09814,0.56518,1.00054,0.8864,0.8361,0.86718,0.50838,1.57026,0.73014,1.21848,0.006238,0.006238,0.006238
192,13855.9,1.09118,0.55813,1.00738,0.91167,0.8377,0.8746,0.5113,1.56532,0.71476,1.21402,0.0062182,0.0062182,0.0062182
193,13926.9,1.09635,0.56486,1.01022,0.87345,0.86082,0.87696,0.51384,1.55909,0.71479,1.21287,0.0061984,0.0061984,0.0061984
194,13997.5,1.08668,0.55933,0.99855,0.87387,0.8675,0.87317,0.51013,1.5668,0.71729,1.21222,0.0061786,0.0061786,0.0061786
195,14069.1,1.08222,0.55311,1.00008,0.87233,0.86318,0.87219,0.50727,1.58666,0.74136,1.22501,0.0061588,0.0061588,0.0061588
196,14139.6,1.0778,0.55281,0.99645,0.88499,0.83985,0.86577,0.50546,1.5725,0.73574,1.22454,0.006139,0.006139,0.006139
197,14211.1,1.0947,0.56715,1.01006,0.87053,0.8496,0.86443,0.50331,1.57845,0.74807,1.223,0.0061192,0.0061192,0.0061192
198,14282.8,1.08473,0.55311,0.9987,0.87716,0.84005,0.867,0.50829,1.57901,0.74172,1.22239,0.0060994,0.0060994,0.0060994
199,14355.7,1.07172,0.55087,0.9969,0.89657,0.84516,0.87749,0.50999,1.57815,0.72651,1.22475,0.0060796,0.0060796,0.0060796
200,14426.6,1.07303,0.55199,0.99177,0.88709,0.86039,0.87796,0.51406,1.57415,0.72221,1.22364,0.0060598,0.0060598,0.0060598
201,14497.4,1.071,0.54301,0.99444,0.88341,0.85632,0.87237,0.50959,1.59008,0.73672,1.23407,0.00604,0.00604,0.00604
202,14567.8,1.07175,0.55245,0.99237,0.89138,0.84629,0.86774,0.51112,1.58319,0.737,1.23329,0.0060202,0.0060202,0.0060202
203,14639,1.06954,0.54547,0.99644,0.89583,0.83357,0.87064,0.5174,1.57122,0.73578,1.22867,0.0060004,0.0060004,0.0060004
204,14709.1,1.06756,0.54786,0.99453,0.89816,0.84283,0.87109,0.50582,1.58047,0.73382,1.23721,0.0059806,0.0059806,0.0059806
205,14779.8,1.07554,0.55095,0.99758,0.88525,0.85135,0.86464,0.50646,1.58032,0.75238,1.23585,0.0059608,0.0059608,0.0059608
206,14850.6,1.0684,0.54753,0.99165,0.86789,0.85419,0.86238,0.50531,1.58423,0.75426,1.23115,0.005941,0.005941,0.005941
207,14922.2,1.07541,0.54564,0.99791,0.89081,0.8579,0.87173,0.50462,1.59058,0.73737,1.22779,0.0059212,0.0059212,0.0059212
208,14992.4,1.06533,0.54889,0.9916,0.88177,0.86246,0.87226,0.51006,1.59116,0.71222,1.23129,0.0059014,0.0059014,0.0059014
209,15063.5,1.05406,0.54257,0.99447,0.87983,0.86202,0.86908,0.50413,1.59347,0.7227,1.24014,0.0058816,0.0058816,0.0058816
210,15134.5,1.05175,0.54576,0.99261,0.88404,0.8647,0.87765,0.50862,1.58644,0.71818,1.23678,0.0058618,0.0058618,0.0058618
211,15205.6,1.0692,0.54464,0.99776,0.88945,0.86029,0.87532,0.51053,1.57265,0.71476,1.22732,0.005842,0.005842,0.005842
212,15276,1.05584,0.54155,0.98632,0.89269,0.86053,0.87284,0.51358,1.58208,0.7162,1.23315,0.0058222,0.0058222,0.0058222
213,15347.1,1.05885,0.5409,0.99147,0.88696,0.85431,0.87098,0.51278,1.57931,0.72308,1.22627,0.0058024,0.0058024,0.0058024
214,15420.3,1.06125,0.5435,0.99969,0.87772,0.86163,0.87135,0.51486,1.56362,0.73578,1.21506,0.0057826,0.0057826,0.0057826
215,15491.6,1.05956,0.54591,0.98486,0.86615,0.86371,0.87006,0.51147,1.56902,0.72142,1.2196,0.0057628,0.0057628,0.0057628
216,15562.2,1.05304,0.53789,0.98911,0.89186,0.85874,0.87683,0.50824,1.56985,0.70943,1.22464,0.005743,0.005743,0.005743
217,15633.3,1.05777,0.539,0.99177,0.88675,0.85443,0.87607,0.51257,1.56981,0.71124,1.21866,0.0057232,0.0057232,0.0057232
218,15703.8,1.0522,0.53154,0.98881,0.87267,0.85997,0.87508,0.51404,1.57029,0.71725,1.22268,0.0057034,0.0057034,0.0057034
219,15775.9,1.05804,0.53948,0.99179,0.86593,0.86113,0.86986,0.50941,1.57912,0.72516,1.22912,0.0056836,0.0056836,0.0056836
220,15846.4,1.04538,0.53046,0.98054,0.87303,0.85312,0.86152,0.50475,1.57541,0.73046,1.226,0.0056638,0.0056638,0.0056638
221,15917.3,1.06314,0.5424,0.99051,0.89552,0.84082,0.86812,0.5137,1.57161,0.73054,1.22811,0.005644,0.005644,0.005644
222,15987.9,1.05649,0.53636,0.98922,0.88595,0.86438,0.87391,0.51969,1.58318,0.72009,1.2356,0.0056242,0.0056242,0.0056242
223,16059.1,1.0444,0.5339,0.98747,0.89266,0.86383,0.87386,0.51535,1.58541,0.72499,1.23447,0.0056044,0.0056044,0.0056044
224,16130.1,1.05516,0.53415,0.98511,0.87883,0.87287,0.87605,0.51616,1.58353,0.71251,1.23387,0.0055846,0.0055846,0.0055846
225,16201.4,1.03664,0.52353,0.9853,0.90168,0.84791,0.88352,0.51969,1.59532,0.70577,1.23723,0.0055648,0.0055648,0.0055648
226,16272.5,1.03123,0.52488,0.9811,0.90532,0.84837,0.88236,0.51823,1.58972,0.70009,1.23273,0.005545,0.005545,0.005545
227,16342.9,1.02336,0.52761,0.9766,0.86783,0.8762,0.87628,0.51465,1.59355,0.71164,1.23445,0.0055252,0.0055252,0.0055252
228,16413.8,1.02759,0.53174,0.98114,0.9011,0.84535,0.8723,0.51288,1.59182,0.71182,1.23509,0.0055054,0.0055054,0.0055054
229,16485.2,1.0372,0.52564,0.98413,0.89748,0.83855,0.86412,0.50987,1.58587,0.72333,1.23308,0.0054856,0.0054856,0.0054856
230,16556.5,1.03676,0.53263,0.98171,0.88547,0.85183,0.86336,0.50824,1.58517,0.71993,1.23434,0.0054658,0.0054658,0.0054658
231,16627.9,1.04206,0.53714,0.99083,0.8798,0.86063,0.86549,0.50999,1.5865,0.71652,1.23212,0.005446,0.005446,0.005446
232,16699.6,1.03145,0.52667,0.97869,0.90347,0.85534,0.87082,0.51142,1.58962,0.71572,1.23005,0.0054262,0.0054262,0.0054262
233,16770.3,1.02726,0.52062,0.97973,0.87374,0.8688,0.87338,0.51595,1.58602,0.71687,1.23173,0.0054064,0.0054064,0.0054064
234,16840.3,1.0264,0.52227,0.98705,0.88801,0.86273,0.87542,0.51573,1.58652,0.71315,1.23813,0.0053866,0.0053866,0.0053866
235,16911.6,1.02013,0.52706,0.98104,0.88601,0.86438,0.87482,0.51445,1.57594,0.69435,1.2368,0.0053668,0.0053668,0.0053668
236,16981.8,1.01992,0.52534,0.97656,0.88136,0.86625,0.87298,0.51535,1.56901,0.69909,1.23473,0.005347,0.005347,0.005347
237,17052.8,1.02737,0.52164,0.98047,0.8743,0.86319,0.87126,0.51528,1.57217,0.70566,1.23424,0.0053272,0.0053272,0.0053272
238,17123,1.00647,0.51433,0.97059,0.87371,0.86701,0.87099,0.51453,1.57685,0.7043,1.23812,0.0053074,0.0053074,0.0053074
239,17193.8,1.01626,0.51997,0.98068,0.89419,0.85979,0.8743,0.51106,1.58137,0.70455,1.23418,0.0052876,0.0052876,0.0052876
240,17264.5,1.0134,0.51357,0.97638,0.89055,0.8704,0.87863,0.51238,1.57814,0.70855,1.23586,0.0052678,0.0052678,0.0052678
241,17335.2,1.0275,0.52546,0.98182,0.88746,0.86824,0.87814,0.51536,1.57427,0.71155,1.23376,0.005248,0.005248,0.005248
242,17405.8,1.01063,0.51058,0.96989,0.90992,0.85643,0.87794,0.5185,1.57071,0.69793,1.23282,0.0052282,0.0052282,0.0052282
243,17476.9,1.01826,0.5146,0.97643,0.87835,0.87064,0.87573,0.51588,1.58356,0.69983,1.23536,0.0052084,0.0052084,0.0052084
244,17547.1,1.00929,0.51513,0.97555,0.90309,0.84978,0.87558,0.51761,1.58083,0.70447,1.23554,0.0051886,0.0051886,0.0051886
245,17618.8,1.01675,0.52291,0.97635,0.89166,0.85824,0.87682,0.51671,1.57574,0.70706,1.23205,0.0051688,0.0051688,0.0051688
246,17689,1.00308,0.51142,0.97217,0.90711,0.84157,0.87474,0.52035,1.57404,0.69899,1.23237,0.005149,0.005149,0.005149
247,17761.2,1.0074,0.51478,0.97328,0.90003,0.84174,0.87077,0.51423,1.57158,0.6984,1.23401,0.0051292,0.0051292,0.0051292
248,17831.6,1.01207,0.51158,0.97062,0.87836,0.85766,0.86831,0.51485,1.57564,0.7042,1.23544,0.0051094,0.0051094,0.0051094
249,17903.1,1.0059,0.51309,0.97849,0.89039,0.85853,0.87121,0.51653,1.572,0.70343,1.23499,0.0050896,0.0050896,0.0050896
250,17973.4,1.01019,0.51055,0.97497,0.89727,0.86022,0.87192,0.51514,1.57127,0.70221,1.23557,0.0050698,0.0050698,0.0050698
251,18044.1,0.9997,0.50696,0.97106,0.90851,0.86008,0.87481,0.5164,1.5703,0.69965,1.22992,0.00505,0.00505,0.00505
252,18114.7,1.00677,0.5144,0.97606,0.89819,0.86337,0.87488,0.52013,1.57037,0.70328,1.23427,0.0050302,0.0050302,0.0050302
253,18185.5,1.01428,0.5141,0.97658,0.89632,0.86088,0.87654,0.51726,1.5769,0.7021,1.23916,0.0050104,0.0050104,0.0050104
254,18255.9,0.9978,0.50444,0.97459,0.88903,0.85996,0.87129,0.51343,1.58175,0.6943,1.23946,0.0049906,0.0049906,0.0049906
255,18327.9,1.00981,0.50977,0.97101,0.89348,0.86248,0.87047,0.51146,1.58241,0.69961,1.23845,0.0049708,0.0049708,0.0049708
256,18398.9,0.99176,0.50259,0.96534,0.88731,0.85469,0.86801,0.51192,1.58568,0.70938,1.24166,0.004951,0.004951,0.004951
257,18469.9,0.99822,0.50872,0.97222,0.90013,0.85348,0.8718,0.51138,1.57901,0.70672,1.24,0.0049312,0.0049312,0.0049312
258,18540.4,0.98061,0.49821,0.9656,0.89888,0.8617,0.87211,0.50945,1.57098,0.70523,1.23991,0.0049114,0.0049114,0.0049114
259,18610.4,0.97479,0.49873,0.96659,0.89054,0.86027,0.87305,0.5115,1.56668,0.69608,1.23777,0.0048916,0.0048916,0.0048916
260,18680.5,0.99304,0.50617,0.96621,0.90002,0.85566,0.87549,0.51778,1.56091,0.69609,1.2369,0.0048718,0.0048718,0.0048718
261,18751.4,0.98273,0.50009,0.96205,0.90087,0.86228,0.87528,0.51378,1.56625,0.69436,1.235,0.004852,0.004852,0.004852
262,18822.1,0.98319,0.49563,0.96259,0.90764,0.86194,0.878,0.51515,1.56691,0.69759,1.23544,0.0048322,0.0048322,0.0048322
263,18893.9,1.00316,0.50835,0.96754,0.90773,0.85002,0.87864,0.51501,1.57429,0.70806,1.23179,0.0048124,0.0048124,0.0048124
264,18964.2,0.98063,0.50046,0.96026,0.88941,0.85335,0.87115,0.51448,1.57102,0.70132,1.22987,0.0047926,0.0047926,0.0047926
265,19035.3,0.9804,0.49292,0.96349,0.88019,0.86526,0.87141,0.51176,1.57675,0.70529,1.23572,0.0047728,0.0047728,0.0047728
266,19105.9,0.97755,0.49351,0.96349,0.88555,0.86029,0.87112,0.51561,1.57156,0.69858,1.23227,0.004753,0.004753,0.004753
267,19177.4,0.9951,0.49908,0.96547,0.89313,0.85361,0.87612,0.51991,1.56762,0.69507,1.23119,0.0047332,0.0047332,0.0047332
268,19248.3,0.99482,0.50512,0.96685,0.8977,0.85491,0.87272,0.5181,1.57041,0.6974,1.23487,0.0047134,0.0047134,0.0047134
269,19320.8,0.96988,0.4966,0.96267,0.89586,0.86078,0.87032,0.51815,1.57328,0.69598,1.23852,0.0046936,0.0046936,0.0046936
270,19392.2,0.98192,0.49668,0.97191,0.89038,0.86189,0.87027,0.51811,1.57918,0.69796,1.24292,0.0046738,0.0046738,0.0046738
271,19464.1,0.95909,0.48629,0.95304,0.89495,0.86116,0.87005,0.51378,1.5782,0.69397,1.24168,0.004654,0.004654,0.004654
272,19535.1,0.96042,0.49335,0.96135,0.90625,0.85236,0.87339,0.51836,1.57011,0.68884,1.23763,0.0046342,0.0046342,0.0046342
273,19606.7,0.97173,0.49446,0.96544,0.89377,0.85598,0.87359,0.51742,1.57093,0.68482,1.23658,0.0046144,0.0046144,0.0046144
274,19676.9,0.96452,0.48823,0.95648,0.9038,0.8605,0.87714,0.5199,1.57004,0.68386,1.23576,0.0045946,0.0045946,0.0045946
275,19748.1,0.98303,0.49608,0.96277,0.90143,0.85841,0.87336,0.51762,1.5728,0.6872,1.23599,0.0045748,0.0045748,0.0045748
