epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3023,1.50104,0.90868,1.18436,0.78367,0.73646,0.77234,0.4165,1.66499,0.9952,1.26374,0.0091882,0.0091882,0.0091882
43,3095.33,1.50267,0.90131,1.18425,0.84569,0.8071,0.83913,0.44297,1.66785,0.89213,1.25078,0.0091684,0.0091684,0.0091684
44,3166.86,1.47383,0.90465,1.17743,0.82518,0.79118,0.81992,0.42652,1.67406,0.92259,1.26002,0.0091486,0.0091486,0.0091486
45,3241.29,1.49166,0.8911,1.17911,0.86175,0.7727,0.81698,0.43247,1.66437,0.91252,1.2446,0.0091288,0.0091288,0.0091288
46,3313.09,1.48492,0.87318,1.16821,0.71993,0.80577,0.75297,0.39741,1.69826,1.00394,1.26414,0.009109,0.009109,0.009109
47,3386.26,1.47498,0.86634,1.165,0.84907,0.77395,0.81875,0.42969,1.71022,0.91222,1.26366,0.0090892,0.0090892,0.0090892
48,3458.07,1.47048,0.87893,1.16629,0.80867,0.8116,0.8077,0.43176,1.67037,0.90294,1.244,0.0090694,0.0090694,0.0090694
49,3532.96,1.46255,0.85147,1.1581,0.84311,0.78568,0.81265,0.42841,1.71036,0.91803,1.28298,0.0090496,0.0090496,0.0090496
50,3604.98,1.46626,0.8521,1.16213,0.84619,0.79252,0.8328,0.44006,1.66394,0.88821,1.24722,0.0090298,0.0090298,0.0090298
51,3677.58,1.45932,0.84426,1.16477,0.79538,0.79625,0.80252,0.43352,1.65027,0.93279,1.2335,0.00901,0.00901,0.00901
52,3751.03,1.44549,0.84379,1.15826,0.84905,0.78869,0.82782,0.43616,1.6651,0.91838,1.2342,0.0089902,0.0089902,0.0089902
53,3823.23,1.46306,0.85228,1.15915,0.8475,0.77815,0.8256,0.43803,1.65472,0.8992,1.24406,0.0089704,0.0089704,0.0089704
54,3894.98,1.44918,0.8355,1.15377,0.86916,0.81612,0.85349,0.46234,1.65349,0.85173,1.23474,0.0089506,0.0089506,0.0089506
55,3968.45,1.43981,0.81711,1.14727,0.86545,0.7872,0.83955,0.4577,1.62939,0.88135,1.22664,0.0089308,0.0089308,0.0089308
56,4039.9,1.43946,0.83108,1.15171,0.81867,0.79739,0.82375,0.44004,1.66019,0.91042,1.24015,0.008911,0.008911,0.008911
57,4112.13,1.43483,0.83399,1.15064,0.86021,0.79423,0.83646,0.46086,1.61606,0.87096,1.21949,0.0088912,0.0088912,0.0088912
58,4184.45,1.41423,0.81593,1.13886,0.86283,0.79184,0.83088,0.44706,1.6475,0.88796,1.23218,0.0088714,0.0088714,0.0088714
59,4256.44,1.42036,0.81656,1.14014,0.82313,0.80185,0.83115,0.44943,1.64673,0.89102,1.23367,0.0088516,0.0088516,0.0088516
60,4329.05,1.41823,0.79884,1.13332,0.78608,0.80241,0.78493,0.43372,1.61586,0.92967,1.21766,0.0088318,0.0088318,0.0088318
61,4401.59,1.41415,0.80956,1.13429,0.82027,0.80256,0.81958,0.44427,1.66326,0.89689,1.23429,0.008812,0.008812,0.008812
62,4473.45,1.43424,0.80911,1.14647,0.73082,0.80564,0.75408,0.41378,1.62474,0.96626,1.22196,0.0087922,0.0087922,0.0087922
63,4546.28,1.40577,0.79875,1.12668,0.80891,0.80268,0.80125,0.43886,1.64627,0.89888,1.23349,0.0087724,0.0087724,0.0087724
64,4619.96,1.4156,0.79886,1.14046,0.85497,0.79898,0.82873,0.45795,1.62295,0.88512,1.23108,0.0087526,0.0087526,0.0087526
65,4693.42,1.37932,0.78817,1.12197,0.84679,0.81677,0.84502,0.4586,1.62381,0.86775,1.22956,0.0087328,0.0087328,0.0087328
66,4765.83,1.39796,0.78487,1.12944,0.82211,0.78299,0.81745,0.45026,1.63532,0.88888,1.22742,0.008713,0.008713,0.008713
67,4840.2,1.3903,0.78528,1.12151,0.80543,0.82187,0.80736,0.4411,1.64248,0.88134,1.23426,0.0086932,0.0086932,0.0086932
